번호,수정내용,척도,카테고리,관련교과군
1,긴 글을 읽고 핵심을 파악하는 것이 어렵다,역,기초교과군,국어
2,자신의 생각을 글로 표현할 수 있는 능력이 있다,정,기초교과군,국어
3,다양한 문학작품을 감상하는 것을 좋아한다,정,기초교과군,국어
4,"논증,설득 비판 능력등 언어적 활동이 수학적 문제 풀이보다 매력적이라고 느낀다",정,기초교과군,국어
5,긴 지문을 보면 읽기 꺼려지고 긴 책을 읽는 것을 좋아하지 않는다,역,기초교과군,국어
6,평소에 쓰는 어휘가 한정적이다,역,기초교과군,국어
7,"글이나 말 속에 담긴 의도, 맥락, 관점을 분석하는 활동에 매력을 느낀다",정,기초교과군,국어
8,순차적 단계를 따르는 복잡한 과정에서 지루함을 느낀다.,역,기초교과군,수학
9,주어진 문제 상황에 대해 해석에 어려움을 느끼며 주어진 조건을 어떻게 사용해야 할 지 잘 모른다.,역,기초교과군,수학
10,많은 양의 풀이를 쓰는 것이 부담스럽다.,역,기초교과군,수학
11,규칙을 찾아내는 과정에서 흥미를 느낀다.,정,기초교과군,수학
12,시각적이고 직관적인 이해를 하는것에 강점을 가지고 있다.,정,기초교과군,수학
13,정해진 풀이 없이 한 문제에 대하여 다양한 해법을 가지고 해결하는 것이 흥미롭다.,정,기초교과군,수학
14,논리적으로 문제를 해결 해나가며 깨달음을 얻은 순간 큰 즐거움을 느끼는 편이다.,정,기초교과군,수학
15,영미 문학 작품을 통해 다양한 문화와 사고방식을 접하는데 흥미가 있다,정,기초교과군,영어
16,어렸을 때 Harry Potter와 같이 영어로 된 소설을 읽어본 경험이 많다,정,기초교과군,영어
17,익숙하지 않은 이름이나 장소가 등장해도 그 안의 맥락을 이해하려는 편이다,정,기초교과군,영어
18,긴 영어 문장 서술보다 딱 맞아 떨어지는 수학적 사고를 선호한다,역,기초교과군,영어
19,영어로 된 문장을 해석하고 쓰는 것이 힘들다,역,기초교과군,영어
20,영어 지문을 읽을 때 요점을 파악하고 해석하는데 자신 있다,정,기초교과군,영어
21,영어를 읽고 쓰는 부분에서 도움이 필요하다,역,기초교과군,영어
22,체계적이고 논리적인 구조를 가진 언어를 배우는 것이 재미있다고 느낀다,정,제2외국어군,독일어
23,남들이 잘 선택하지 않는 생소한 분야에 도전하는 것을 즐긴다,정,제2외국어군,독일어
24,예외가 많은 규칙이나 복잡한 구조를 분석하는 것이 흥미롭다.,정,제2외국어군,독일어
25,영어에 자신이 있고 알파벳에 익숙한 편이다.,정,제2외국어군,독일어
26,평소 대화를 할 때 간접적인 화법보다 직접적인 화법을 선호한다.,역,제2외국어군,일본어
27,한국어와 비슷한 문법체계를 가진 언어를 선호한다,정,제2외국어군,일본어
28,"등급산정에 유리한 구조를 가진, 응시인원이 많은 과목을 선호한다.",정,제2외국어군,일본어
29,일본어 관련 영상이나 만화를 자연스럽게 찾아보거나 즐긴다,정,제2외국어군,일본어
30,말할 때 톤이나 억양에 따라 의미가 달라지는 것이 어렵다,역,제2외국어군,중국어
31,글자 하나에 여러 뜻이 있는 것이 재미있다.,정,제2외국어군,중국어
32,소리와 의미와 함께 연결되는 방식에 관심을 갖는다.,정,제2외국어군,중국어
33,말의 세기를 높게 말하는 것에 대해 거부감이 든다.,역,제2외국어군,중국어
34,전자기와 관련된 문항에 거부감을 느낀다,역,과학군,물리
35,"일반화된 법칙을 선호하고, 변수가 많은 복잡한 상황은 선호하지 않는다",정,과학군,물리
36,기계나 전자기기의 원리를 이해하는것에 흥미를 느낀다.,정,과학군,물리
37,복잡한 운동도 몇 가지 기본적인 힘으로 설명할 수 있다고 생각한다.,정,과학군,물리
38,현실의 움직임을 계산으로 설명하는 건 비현실적으로 느껴진다.,역,과학군,물리
39,"계산이나 연산을 잘하며, 수학적 사고에 강점이 있다.",정,과학군,물리
40,나는 새로운 물질을 합성하는 것에 관심이 있다,정,과학군,화학
41,물질의 변화를 다루는 실험에 대해 관심이 없다.,역,과학군,화학
42,탄소 화합물이 일상생활에 유용하게 활용되는 사례에 관심이 있다.,정,과학군,화학
43,물질의 특성을 파악하는 과정이 수월하다.,정,과학군,화학
44,"배운 개념을 약품, 음식, 화장품 등 에 연결지어 생각하는 편이다.",정,과학군,화학
45,무언가가 타거나 부식될 때 내부에서 어떤 일이 벌어지는지 상상한다.,정,과학군,화학
46,배운 내용을 생태계에 적용하여 관찰하는 것에 흥미를 느낀다.,정,과학군,생명
47,새로운 백신이나 질병 치료 기술에 대한 뉴스를 관심 있게 본다.,정,과학군,생명
